BIN	# in LD	# in TD	PDF in LD	PDF in TD	CDF_asc in LD	CDF_asc in TD	CDF_desc in LD	CDF_desc in TD
-1.000000	3	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-0.990000	137	149	0.000003	0.000003	0.000003	0.000003	1.000000	1.000000
-0.980000	832	850	0.000019	0.000019	0.000022	0.000023	0.999997	0.999997
-0.970000	2578	2467	0.000059	0.000056	0.000081	0.000079	0.999978	0.999977
-0.960000	5636	5438	0.000129	0.000124	0.000210	0.000203	0.999919	0.999921
-0.950000	10783	9702	0.000246	0.000222	0.000456	0.000425	0.999790	0.999797
-0.940000	17458	14956	0.000399	0.000342	0.000855	0.000767	0.999544	0.999575
-0.930000	26153	20956	0.000597	0.000479	0.001452	0.001245	0.999145	0.999233
-0.920000	35759	28309	0.000817	0.000646	0.002269	0.001892	0.998548	0.998755
-0.910000	47703	35603	0.001089	0.000813	0.003358	0.002705	0.997731	0.998108
-0.900000	60607	45134	0.001384	0.001031	0.004742	0.003735	0.996642	0.997295
-0.890000	73733	53750	0.001684	0.001227	0.006426	0.004963	0.995258	0.996265
-0.880000	87425	63158	0.001997	0.001442	0.008422	0.006405	0.993574	0.995037
-0.870000	100674	72561	0.002299	0.001657	0.010722	0.008062	0.991578	0.993595
-0.860000	114961	82371	0.002625	0.001881	0.013347	0.009943	0.989278	0.991938
-0.850000	128844	91790	0.002942	0.002096	0.016289	0.012040	0.986653	0.990057
-0.840000	142228	101182	0.003248	0.002311	0.019537	0.014350	0.983711	0.987960
-0.830000	154127	111119	0.003520	0.002538	0.023057	0.016888	0.980463	0.985650
-0.820000	165850	120251	0.003788	0.002746	0.026845	0.019634	0.976943	0.983112
-0.810000	176249	129037	0.004025	0.002947	0.030870	0.022581	0.973155	0.980366
-0.800000	185791	138152	0.004243	0.003155	0.035113	0.025736	0.969130	0.977419
-0.790000	195957	146032	0.004475	0.003335	0.039588	0.029071	0.964887	0.974264
-0.780000	204045	154804	0.004660	0.003535	0.044248	0.032606	0.960412	0.970929
-0.770000	212366	161804	0.004850	0.003695	0.049097	0.036301	0.955752	0.967394
-0.760000	218559	169478	0.004991	0.003870	0.054089	0.040172	0.950903	0.963699
-0.750000	225179	176355	0.005142	0.004027	0.059231	0.044199	0.945911	0.959828
-0.740000	230380	182962	0.005261	0.004178	0.064492	0.048377	0.940769	0.955801
-0.730000	234728	188644	0.005361	0.004308	0.069853	0.052686	0.935508	0.951623
-0.720000	238778	195467	0.005453	0.004464	0.075306	0.057149	0.930147	0.947314
-0.710000	242839	199990	0.005546	0.004567	0.080852	0.061717	0.924694	0.942851
-0.700000	247077	205902	0.005643	0.004702	0.086494	0.066419	0.919148	0.938283
-0.690000	250338	210828	0.005717	0.004815	0.092211	0.071234	0.913506	0.933581
-0.680000	252811	216890	0.005773	0.004953	0.097985	0.076187	0.907789	0.928766
-0.670000	256530	220365	0.005858	0.005032	0.103843	0.081219	0.902015	0.923813
-0.660000	259064	224617	0.005916	0.005130	0.109759	0.086349	0.896157	0.918781
-0.650000	261213	229459	0.005965	0.005240	0.115725	0.091589	0.890241	0.913651
-0.640000	263629	233868	0.006021	0.005341	0.121745	0.096930	0.884275	0.908411
-0.630000	265967	237914	0.006074	0.005433	0.127819	0.102363	0.878255	0.903070
-0.620000	267665	241164	0.006113	0.005507	0.133932	0.107871	0.872181	0.897637
-0.610000	269051	246083	0.006144	0.005620	0.140076	0.113490	0.866068	0.892129
-0.600000	271179	249532	0.006193	0.005699	0.146269	0.119189	0.859924	0.886510
-0.590000	272148	252868	0.006215	0.005775	0.152484	0.124964	0.853731	0.880811
-0.580000	272723	256118	0.006228	0.005849	0.158712	0.130813	0.847516	0.875036
-0.570000	273631	258497	0.006249	0.005903	0.164961	0.136716	0.841288	0.869187
-0.560000	273733	261653	0.006251	0.005975	0.171213	0.142692	0.835039	0.863284
-0.550000	275658	264019	0.006295	0.006029	0.177508	0.148721	0.828787	0.857308
-0.540000	275840	268098	0.006299	0.006123	0.183807	0.154844	0.822492	0.851279
-0.530000	276835	270529	0.006322	0.006178	0.190129	0.161022	0.816193	0.845156
-0.520000	277383	271427	0.006335	0.006199	0.196464	0.167220	0.809871	0.838978
-0.510000	277655	274950	0.006341	0.006279	0.202805	0.173499	0.803536	0.832780
-0.500000	276848	278632	0.006322	0.006363	0.209127	0.179862	0.797195	0.826501
-0.490000	278150	280998	0.006352	0.006417	0.215479	0.186280	0.790873	0.820138
-0.480000	278679	283532	0.006364	0.006475	0.221844	0.192755	0.784521	0.813720
-0.470000	279676	285767	0.006387	0.006526	0.228231	0.199281	0.778156	0.807245
-0.460000	279140	288268	0.006375	0.006583	0.234605	0.205864	0.771769	0.800719
-0.450000	279879	290494	0.006392	0.006634	0.240997	0.212498	0.765395	0.794136
-0.440000	279428	293386	0.006381	0.006700	0.247378	0.219198	0.759003	0.787502
-0.430000	280335	296092	0.006402	0.006762	0.253780	0.225960	0.752622	0.780802
-0.420000	278755	297701	0.006366	0.006799	0.260146	0.232759	0.746220	0.774040
-0.410000	278799	300545	0.006367	0.006864	0.266513	0.239622	0.739854	0.767241
-0.400000	277310	302291	0.006333	0.006903	0.272846	0.246526	0.733487	0.760378
-0.390000	277138	305355	0.006329	0.006973	0.279175	0.253499	0.727154	0.753474
-0.380000	276024	307895	0.006304	0.007031	0.285479	0.260531	0.720825	0.746501
-0.370000	274827	310322	0.006276	0.007087	0.291755	0.267617	0.714521	0.739469
-0.360000	274759	311307	0.006275	0.007109	0.298030	0.274727	0.708245	0.732383
-0.350000	273615	311923	0.006249	0.007123	0.304278	0.281850	0.701970	0.725273
-0.340000	271890	313457	0.006209	0.007158	0.310487	0.289009	0.695722	0.718150
-0.330000	272119	313578	0.006214	0.007161	0.316702	0.296170	0.689513	0.710991
-0.320000	271209	314711	0.006194	0.007187	0.322895	0.303357	0.683298	0.703830
-0.310000	270896	314826	0.006186	0.007190	0.329082	0.310547	0.677105	0.696643
-0.300000	269689	314967	0.006159	0.007193	0.335241	0.317740	0.670918	0.689453
