TF gene ID,level in GCN
Zm00001d010987, 12
Zm00001d024468, 9
Zm00001d020540, 14
Zm00001d028919, 3
Zm00001d002025, 3
Zm00001d027878, 8
Zm00001d034204, 12
Zm00001d007840, 4
Zm00001d018731, 13
Zm00001d048004, 11
Zm00001d034629, 13
Zm00001d026448, 13
Zm00001d002075, 12
Zm00001d035512, 12
Zm00001d046621, 13
Zm00001d042492, 10
Zm00001d046913, 9
Zm00001d011134, 5
Zm00001d017284, 13
Zm00001d003601, 9
Zm00001d050781, 8
Zm00001d051172, 12
Zm00001d014507, 13
Zm00001d000358, 14
Zm00001d031522, 6
Zm00001d015243, 11
Zm00001d023659, 2
Zm00001d041056, 1
Zm00001d042267, 8
Zm00001d011953, 10
Zm00001d031064, 12
Zm00001d026590, 10
Zm00001d041497, 12
Zm00001d053819, 3
Zm00001d036593, 13
Zm00001d045026, 7
Zm00001d001879, 11
Zm00001d043431, 13
Zm00001d043922, 13
Zm00001d038698, 9
Zm00001d039006, 11
Zm00001d012731, 12
Zm00001d026540, 13
Zm00001d001945, 13
Zm00001d042463, 12
Zm00001d015521, 6
Zm00001d028265, 11
Zm00001d048046, 11
Zm00001d030907, 2
Zm00001d033313, 3
Zm00001d024321, 13
Zm00001d007173, 15
Zm00001d042396, 3
Zm00001d049094, 13
Zm00001d051471, 12
Zm00001d017618, 11
Zm00001d035921, 2
Zm00001d011745, 14
Zm00001d027939, 14
Zm00001d023446, 11
Zm00001d044355, 3
Zm00001d049369, 7
Zm00001d052591, 12
Zm00001d038504, 13
Zm00001d048244, 14
Zm00001d034965, 13
Zm00001d027409, 12
Zm00001d026005, 13
Zm00001d002562, 11
Zm00001d047359, 13
Zm00001d029749, 13
Zm00001d031572, 5
Zm00001d049800, 6
Zm00001d045477, 3
Zm00001d033903, 7
Zm00001d024229, 9
Zm00001d026358, 9
Zm00001d039328, 3
Zm00001d049450, 10
Zm00001d013336, 10
Zm00001d022534, 3
Zm00001d047922, 15
Zm00001d006552, 3
Zm00001d017846, 12
Zm00001d053975, 2
Zm00001d019757, 14
Zm00001d006677, 13
Zm00001d039439, 10
Zm00001d021927, 13
Zm00001d031665, 13
Zm00001d032132, 13
Zm00001d026317, 8
Zm00001d002121, 13
Zm00001d005919, 13
Zm00001d039271, 3
Zm00001d040148, 15
Zm00001d016873, 3
Zm00001d035027, 7
Zm00001d036382, 13
Zm00001d037098, 3
Zm00001d020763, 13
Zm00001d020932, 4
Zm00001d021086, 13
Zm00001d044839, 13
Zm00001d047216, 11
Zm00001d000291, 12
Zm00001d000236, 13
Zm00001d027419, 13
Zm00001d027859, 14
Zm00001d027987, 6
Zm00001d028504, 13
Zm00001d029339, 3
Zm00001d031441, 4
Zm00001d031561, 14
Zm00001d032213, 13
Zm00001d033412, 13
Zm00001d033848, 15
Zm00001d033870, 13
Zm00001d033957, 13
Zm00001d034091, 3
Zm00001d034596, 13
Zm00001d025141, 6
Zm00001d025727, 2
Zm00001d026120, 13
Zm00001d005740, 13
Zm00001d005939, 13
Zm00001d006022, 4
Zm00001d006065, 4
Zm00001d006110, 10
Zm00001d006578, 6
Zm00001d040186, 12
Zm00001d042482, 14
Zm00001d043248, 14
Zm00001d043699, 14
Zm00001d043706, 14
Zm00001d044216, 8
Zm00001d044242, 13
Zm00001d048786, 3
Zm00001d049870, 12
Zm00001d050394, 13
Zm00001d051509, 12
Zm00001d052038, 14
Zm00001d013232, 4
Zm00001d013357, 12
Zm00001d017138, 13
Zm00001d017559, 13
Zm00001d017908, 15
Zm00001d018119, 14
Zm00001d018374, 14
Zm00001d036807, 15
Zm00001d037528, 13
Zm00001d038863, 6
Zm00001d020490, 13
Zm00001d020826, 13
Zm00001d021019, 4
Zm00001d021164, 14
Zm00001d021748, 3
Zm00001d008444, 15
Zm00001d011187, 3
Zm00001d012067, 11
Zm00001d045046, 4
Zm00001d046759, 2
Zm00001d047878, 13
Zm00001d047999, 14
Zm00001d048309, 12
Zm00001d030028, 5
Zm00001d047017, 11
Zm00001d017677, 12
Zm00001d027546, 12
Zm00001d014814, 11
Zm00001d031818, 14
Zm00001d005969, 10
Zm00001d017778, 14
Zm00001d007382, 14
Zm00001d049294, 15
Zm00001d024679, 14
Zm00001d054038, 4
Zm00001d014995, 3
Zm00001d021701, 15
Zm00001d027855, 14
Zm00001d041926, 3
Zm00001d053150, 13
Zm00001d009778, 14
Zm00001d033407, 14
Zm00001d024783, 12
Zm00001d008205, 14
Zm00001d033267, 4
Zm00001d013130, 3
Zm00001d053391, 14
Zm00001d016095, 15
Zm00001d046096, 13
Zm00001d018416, 3
Zm00001d045212, 7
Zm00001d018967, 5
Zm00001d034199, 2
Zm00001d034447, 4
Zm00001d034571, 2
Zm00001d004897, 3
Zm00001d007124, 16
Zm00001d040500, 3
Zm00001d041604, 12
Zm00001d042779, 5
Zm00001d043117, 3
Zm00001d043153, 12
Zm00001d044546, 15
Zm00001d051739, 4
Zm00001d052562, 3
Zm00001d014710, 11
Zm00001d018571, 3
Zm00001d035440, 7
Zm00001d036736, 3
Zm00001d037170, 14
Zm00001d038311, 15
Zm00001d022613, 12
Zm00001d012273, 7
Zm00001d012719, 14
Zm00001d046564, 5
Zm00001d047519, 10
Zm00001d027461, 6
Zm00001d028372, 13
Zm00001d029064, 6
Zm00001d029711, 7
Zm00001d031723, 2
Zm00001d024160, 3
Zm00001d024285, 14
Zm00001d006127, 3
Zm00001d041142, 13
